Sembol,Tarih,Fiyat (Son),Sinyal,Skor (Al),Skor (Sat),Elmas Formasyonu,AlphaTrend,MA,MACD,MACD_Signal,MACD_Positive,RSI,ADX,OBV_Diff,BB_Low,BB_Mavg,BB_High,BB_W,EMA20_gt_EMA50_gt_EMA200,Dipten Uzaklık (%),ATH'ye Uzaklık (%),ATH Breakout,ATH Dip Potansiyeli,Cup&Handle Formasyonu,Bull Flag Formasyonu,TOBO Formasyonu,Gelişmiş TOBO,EMA5_137 Sinyal,EMA5_137 Sinyal_Numeric,EMA3_199 Sinyal,EMA3_199 Sinyal_Numeric,EMA3_200 Sinyal,EMA3_200 Sinyal_Numeric,CandleGoldenCross_Over,Confirmed_BUY,Confirmed_SELL,CandleGoldenCross_Over_Confirmed_BUY,Confirmed_SELL_CandleCrossUnder,STOP Fiyat,TP Fiyat,Haftalık Değişim (%),Aylık Değişim (%),Ortalama Hacim (TL),F/K,PD/DD,Yorumlar,PUANLAMA_V4,TP Oran (%),Sinyal_Sort,VolumeDeltaUp_Sort,Formasyon_Sort,FormasyonTazeKirilim,BONUS_SCORE,DipSkor,ATHSkor,OBVSkor,TazeSkor,FinalSkorEx,__FDTT_NET_TL,__FDTT_ADV7_TL,KURUM_FDTT_SINYAL,__AKD_1D_NET_TL_NORM_ND,__AKD_3D_NET_TL_NORM_ND,KURUM_AKD_SINYAL,__AKD_PUAN,__FDTT_PUAN,__KURUM_PUAN,AL_VETO_SHOCK,__TURNOVER_1D,__TURNOVER_3D,__FF_MCAP,AKD_NOTE,KURUM_AKD_SKOR,FinalSkorPlus,__FDTT_NET_PP,__FDTT_NET_TL_NORM,__AKD_RECENCY_COMBO,Analiz_Tarihi_str,Alis_Fiyati_AnalizGunu,Max_Getiri_%,Getiri_1Hafta_Sonu_%,Zirve_Kayip_%,Fiyat_EnYuksek_5Gun,Fiyat_EnDusuk_5Gun,Max_Getiri_5Gun_%,Gun_EnYuksek,Gun_EnDusuk,Max_Getiri_15Gun_%,Getiri_15Gun_Sonu_%,Zirve_Kayip_15Gun_%,Fiyat_EnYuksek_15Gun,Fiyat_EnDusuk_15Gun,SMA5_137_15m_Sinyal,SMA5_137_15m_Sinyal_Numeric,SMA5_137_15m_Sinyal_Filt,SMA5_137_15m_Sinyal_Filt_Numeric,SMA5_137_15m_CrossTime,SMA5_137_15m_BarsSinceCross,SMA5_137_1h_Sinyal,SMA5_137_1h_Sinyal_Numeric,SMA5_137_1h_Sinyal_Filt,SMA5_137_1h_Sinyal_Filt_Numeric,SMA5_137_1h_CrossTime,SMA5_137_1h_BarsSinceCross,SMA5_137_4h_Sinyal,SMA5_137_4h_Sinyal_Numeric,SMA5_137_4h_Sinyal_Filt,SMA5_137_4h_Sinyal_Filt_Numeric,SMA5_137_4h_CrossTime,SMA5_137_4h_BarsSinceCross,SMA5_137_1d_Sinyal,SMA5_137_1d_Sinyal_Numeric,SMA5_137_1d_Sinyal_Filt,SMA5_137_1d_Sinyal_Filt_Numeric,SMA5_137_1d_CrossTime,SMA5_137_1d_BarsSinceCross,EW_WaveType_1d,EW_CurrentWave_1d,EW_Phase_1d,EW_LastPivotTime_1d,EW_LastPivotPrice_1d,EW_WaveType_4h,EW_CurrentWave_4h,EW_Phase_4h,EW_LastPivotTime_4h,EW_LastPivotPrice_4h,Top_Grup,Top_Grup_15Gun
AKFYE,2025-09-29,16.73,-50,0,4,0,17.64,17.68,-0.21,-0.15,0,37.17,17.54,-5532496.0,16.64,17.54,18.45,10.32,0,12.21,19.18,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,15.92,17.54,-7.36,-8.58,119775771,0.0,0.46,"ATR Oranı düşük (3.23%) | Gelişmiş Cup & Handle | ATR STOP: 15.92, TP: 17.54 | 1H:%-7.36 | 1A:%-8.58",1,4.84,0,0,1,0,0,-12.21,-19.18,-5532496.0,0,-9.68,3030873645.09,106880880.71,True,0.11,0.06,True,3.0,3.0,3.0,False,0.01,0.04,6261457200.8,AKD pozitif (1g norm),48.0,38.32,48.41,28.36,0.09,2025-09-29,16.73,2.8690974297668883,1.2552301255230176,1.5688553166763481,17.21,16.78,2.8690974297668883,2,4,3.885236102809316,0.8368200836820118,2.9344073647871003,17.38,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
AKGRT,2025-09-29,6.06,-100,0,3,0,6.25,6.3,-0.12,-0.12,1,35.91,19.54,-4833428.0,5.98,6.24,6.5,8.3,0,17.9,26.81,0,100,0,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,5.81,6.31,-3.04,-9.96,74765844,5.8269234,1.8,"ATR Oranı düşük (2.72%) | ATR STOP: 5.81, TP: 6.31 | 1H:%-3.04 | 1A:%-9.96",1,4.13,0,0,0,0,0,-17.9,-26.81,-4833428.0,0,-16.81,902030918.61,99581659.14,True,-0.48,-0.13,False,-5.0,3.0,-2.0,True,0.01,0.07,2901462262.57,AKD/Taban veto,-88.0,-104.81,31.09,9.06,-0.38,2025-09-29,6.06,1.980198019801982,1.980198019801982,0.0,6.18,6.0,1.980198019801982,5,4,8.910891089108912,8.910891089108912,0.0,6.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
AKSGY,2025-09-29,7.87,50,4,0,0,7.57,7.52,0.07,0.03,1,62.52,28.78,-5645346.0,7.11,7.5,7.89,10.48,1,45.76,0.51,100,0,0,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,7.52,8.22,8.4,1.16,49803429,5.6214285,0.5,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATH Breakout! (uzaklık %0.51) | ATR Oranı düşük (2.93%) | ATR STOP: 7.52, TP: 8.22 | 1H:%8.4 | 1A:%1.16",7,4.45,2,0,0,0,0,-45.76,-0.51,-5645346.0,0,-15.56,3571998845.73,57523328.71,True,-0.61,-0.13,False,-5.0,3.0,-2.0,True,0.0,0.02,8373358611.68,AKD/Taban veto,-78.0,-93.56,42.66,62.1,-0.47,2025-09-29,7.87,3.049555273189318,-1.2706480304955594,4.192355117139333,8.11,7.67,3.049555273189318,1,4,3.049555273189318,-2.4142312579415552,5.302096177558567,8.11,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
ALCTL,2025-09-29,118.2,0,0,0,1,117.19,118.51,1.41,1.31,1,50.52,20.01,-282536.0,109.67,117.49,125.31,13.31,1,26.76,20.03,0,100,0,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,111.6,124.8,-2.39,-0.42,44788962,18.045801,1.54,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (3.72%) | Gelişmiş Elmas | ATR STOP: 111.6, TP: 124.8 | 1H:%-2.39 | 1A:%-0.42",2,5.58,0,0,1,0,0,-26.76,-20.03,-282536.0,0,-16.83,413700442.79,52037150.0,True,0.12,0.05,True,3.0,3.0,3.0,False,0.01,0.08,1667550505.5,AKD pozitif (1g norm),54.0,37.17,24.81,7.95,0.1,2025-09-29,118.2,3.553299492385789,0.6768189509306236,2.777777777777782,122.4,118.5,3.553299492385789,1,3,3.553299492385789,-8.798646362098143,11.928104575163404,122.4,107.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
ALFAS,2025-09-29,46.22,0,0,0,0,47.56,47.48,0.13,-0.01,1,44.33,24.96,-1701109.0,42.74,46.65,50.55,16.73,0,20.05,45.53,0,100,0,0,1,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,43.41,49.03,-6.02,-5.79,102875058,0.0,3.35,"ATR Oranı düşük (4.05%) | Gelişmiş TOBO formasyonu | ATR STOP: 43.41, TP: 49.03 | 1H:%-6.02 | 1A:%-5.79",2,6.08,0,0,1,0,0,-20.05,-45.53,-1701109.0,0,-16.9,-114711759.61,128190986.43,False,-0.07,-0.01,False,-2.0,-2.0,-2.0,False,0.01,0.1,4245231372.4,AKD nötr/negatif,-7.0,-23.9,-2.7,-0.89,-0.05,2025-09-29,46.22,-0.692340977931632,-4.370402423193414,3.7037037037036944,45.9,43.84,-0.692340977931632,1,4,-0.692340977931632,-10.471657291215916,9.847494553376897,45.9,40.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
ALGYO,2025-09-29,20.88,-50,0,4,0,21.17,21.39,0.01,0.04,0,44.13,25.22,-1345007.0,20.02,21.26,22.5,11.64,1,24.73,9.14,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,19.89,21.87,-4.04,-3.96,42124842,10.235294,0.37,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (3.15%) | Gelişmiş Cup & Handle | ATR STOP: 19.89, TP: 21.87 | 1H:%-4.04 | 1A:%-3.96",2,4.74,0,0,1,0,0,-24.73,-9.14,-1345007.0,0,-14.04,613133318.78,44334193.0,True,-0.1,-0.02,False,-2.0,3.0,0.0,False,0.0,0.03,3132997000.2,AKD nötr/negatif,-22.0,-36.04,19.57,13.83,-0.07,2025-09-29,20.88,0.0,-2.7777777777777697,2.7777777777777697,20.88,20.16,0.0,1,4,9.674329501915707,7.183908045977012,2.2707423580786013,22.9,20.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
ALKA,2025-09-29,14.26,50,4,0,0,13.25,11.8,1.83,1.26,1,66.06,57.64,-40183158.0,5.81,11.05,16.28,94.83,1,133.39,10.82,0,0,0,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,12.51,16.01,-1.93,84.24,261485420,0.0,5.41,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı yüksek (8.2%) | ATR STOP: 12.51, TP: 16.01 | 1H:%-1.93 | 1A:%84.24 | Volume Delta pozitif",5,12.27,2,1,0,0,0,-133.39,-10.82,-40183158.0,0,-115.14,650512489.11,188882488.86,True,-0.04,-0.0,False,0.0,3.0,1.0,False,0.05,0.43,1656891431.28,AKD nötr/negatif,25.0,-90.14,39.26,3.44,-0.03,2025-09-29,14.26,7.643758765778401,-15.147265077138853,21.172638436482085,15.35,12.1,7.643758765778401,2,5,7.643758765778401,-13.043478260869563,19.218241042345273,15.35,10.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
ALKIM,2025-09-29,21.76,50,4,0,0,20.33,19.65,1.1,0.58,1,65.25,43.4,-42452123.0,15.1,18.92,22.73,40.38,1,57.23,5.56,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,19.93,23.59,1.68,26.0,124521536,0.0,1.6,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.62%) | Gelişmiş Cup & Handle | ATR STOP: 19.93, TP: 23.59 | 1H:%1.68 | 1A:%26.0 | Volume Delta pozitif",6,8.41,2,1,1,0,0,-57.23,-5.56,-42452123.0,0,-33.95,1377643009.69,65761106.86,True,-0.2,-0.01,False,-5.0,3.0,-2.0,True,0.01,0.11,2899129637.96,AKD/Taban veto,-79.0,-112.95,47.52,20.95,-0.14,2025-09-29,21.76,9.650735294117636,-4.503676470588236,12.90863369656328,23.86,20.78,9.650735294117636,2,5,9.650735294117636,-13.694852941176471,21.29086336965632,23.86,18.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
ALKLC,2025-09-29,85.7,100,3,0,0,83.48,83.58,2.48,2.73,0,56.48,27.9,1242680.0,75.75,83.1,90.46,17.71,1,243.98,7.84,0,0,1,0,0,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,78.86,92.54,-3.16,2.03,147365933,0.0,4.35,"EMA20 > EMA50 > EMA200 (Güçlü trend) | ATR Oranı düşük (5.32%) | Gelişmiş Cup & Handle | ATR STOP: 78.86, TP: 92.54 | 1H:%-3.16 | 1A:%2.03",3,7.98,1,0,1,0,0,-243.98,-7.84,1242680.0,0,-226.84,-709093653.18,152224676.86,False,0.17,0.03,True,4.0,-3.0,1.0,False,0.01,0.14,2921269016.05,AKD pozitif (1g norm),39.0,-187.84,-24.27,-4.66,0.13,2025-09-29,85.7,4.142357059509915,3.442240373395569,0.6722689075630188,89.25,88.6,4.142357059509915,2,4,13.302217036172683,2.5670945157526286,9.474768280123573,97.1,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
ALTNY,2025-09-29,72.7,-50,0,4,0,75.3,75.42,-0.54,-0.47,0,41.64,13.68,-3865447.0,70.11,74.62,79.13,12.09,0,8.43,27.88,0,100,1,0,1,0,-,0.0,-,0.0,-,0.0,0,0,0,0,0,68.82,76.58,-4.72,-3.96,504358476,35.637253,4.24,"ATR Oranı düşük (3.56%) | Gelişmiş TOBO formasyonu | Gelişmiş Cup & Handle | ATR STOP: 68.82, TP: 76.58 | 1H:%-4.72 | 1A:%-3.96",3,5.34,0,0,1,0,0,-8.43,-27.88,-3865447.0,0,0.89,4749222897.29,612695874.43,True,0.0,-0.02,False,0.0,3.0,1.0,False,0.07,0.23,6916106021.1,AKD nötr/negatif,13.0,13.89,68.67,7.75,-0.0,2025-09-29,72.7,1.4442916093535036,-1.031636863823934,2.440677966101691,73.75,71.45,1.4442916093535036,2,4,1.4442916093535036,-15.130674002751032,16.338983050847453,73.75,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
